Date,asset,vix,asset_ret,realized_vol,vol_z,ema_fast,ema_slow,core_risk_off,option_risk_off,condition_score,risk_off,risk_on,position,switch,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity
2025-09-17,588.5585327148438,15.720000267028809,-0.001996019759001766,0.10355838674328645,-0.8530012378348236,566.2957511400733,524.9701057417517,False,False,0,False,True,1.0,0.0,-0.001996019759001766,-0.001996019759001766,0.6187567375578914,2.8217362764170812
2025-09-18,593.865478515625,15.699999809265137,0.009016853049945484,0.10231879982543973,-0.858303157715255,567.3769169195067,525.6556318390042,False,False,0,False,True,1.0,0.0,0.009016853049945484,0.009016853049945484,0.6243359761341146,2.8471794577672345
2025-09-19,597.8856201171875,15.449999809265137,0.006769448211758178,0.0996657174869028,-0.8752322361282978,568.573336652749,526.3743381900309,False,False,0,False,True,1.0,0.0,0.006769448211758178,0.006769448211758178,0.628562386191292,2.8664532916561716
2025-09-22,601.4251098632812,16.100000381469727,0.005920011498854905,0.08927500441622868,-0.9548802828766939,569.8616414845346,527.121112037526,False,False,0,False,True,1.0,0.0,0.005920011498854905,0.005920011498854905,0.6322834827452921,2.8834227281037066
2025-09-23,597.4302978515625,16.639999389648438,-0.006642243475046938,0.09327236778658342,-0.9162902559095742,570.9427652636338,527.8207059262229,False,False,0,False,True,1.0,0.0,-0.006642243475046938,-0.006642243475046938,0.6280837019076473,2.8642703323021577
2025-09-24,595.3329467773438,16.18000030517578,-0.0035106205389333622,0.09541300632240238,-0.8933462059363297,571.8992429700538,528.4924695167813,False,False,0,False,True,1.0,0.0,-0.0035106205389333622,-0.0035106205389333622,0.625878738363561,2.85421496604452
2025-09-25,592.7662963867188,16.739999771118164,-0.004311285650355434,0.09808150170491928,-0.8664264907529726,572.7175587903153,529.1320100826513,False,False,0,False,True,1.0,0.0,-0.004311285650355434,-0.004311285650355434,0.6231803963399917,2.8419096300183826
2025-09-26,595.203125,15.289999961853027,0.00411094326404049,0.09707547737165108,-0.8695461400443142,573.5993457004989,529.7894341116796,False,False,0,False,True,1.0,0.0,0.00411094326404049,0.00411094326404049,0.6257422555926077,2.8535925592689186
2025-09-29,597.9595947265625,16.1200008392334,0.0046311412201716085,0.08385261106510572,-0.9711783328676096,574.554649583874,530.4677441675491,False,False,0,False,True,1.0,0.0,0.0046311412201716085,0.0046311412201716085,0.6286401563456857,2.866807949395724
2025-09-30,599.5974731445312,16.280000686645508,0.0027391121948929786,0.07335264047508754,-1.0497961411142527,575.5367210960567,531.1556021673201,False,False,0,False,True,1.0,0.0,0.0027391121948929786,0.0027391121948929786,0.6303620722641317,2.87466045801033
2025-10-01,602.4737548828125,16.290000915527344,0.0047970211135095475,0.07146562808625158,-1.0582439076687151,576.593075362204,531.8652355276733,False,False,0,False,True,1.0,0.0,0.0047970211135095475,0.0047970211135095475,0.6333859324339384,2.888450264921577
2025-10-02,604.9505615234375,16.6299991607666,0.004111061470398525,0.06788791486000839,-1.0801814369212137,577.7051336430367,532.5924527017605,False,False,0,False,True,1.0,0.0,0.004111061470398525,0.004111061470398525,0.63598982093666,2.9003248615148585
2025-10-03,602.4038696289062,16.649999618530273,-0.004209752096300146,0.07206152992660642,-1.0408127841312496,578.6737115248355,533.2870936662098,False,False,0,False,True,1.0,0.0,-0.004209752096300146,-0.004209752096300146,0.6333124614547464,2.888115212849145
2025-10-06,606.9280395507812,16.3700008392334,0.007510193991054459,0.07385951693055003,-1.0208692043555245,579.7817243885981,534.0198393964046,False,False,0,False,True,1.0,0.0,0.007510193991054459,0.007510193991054459,0.6380687608972238,2.9098055183661575
2025-10-07,603.732177734375,17.239999771118164,-0.0052656354759481605,0.078807285612799,-0.9760546684817946,580.7209578531384,534.7134945042451,False,False,0,False,True,1.0,0.0,-0.0052656354759481605,-0.0052656354759481605,0.6347089233937491,2.894483543200539
2025-10-08,610.6532592773438,16.299999237060547,0.011463827502024904,0.0851491150783135,-0.9219895871952287,581.8947735952642,535.4691140542262,False,False,0,False,True,1.0,0.0,0.011463827502024904,0.011463827502024904,0.641985117005531,2.92766540324724
2025-10-09,609.9141845703125,16.43000030517578,-0.0012103017478460876,0.08533871245308686,-0.9170778212781511,582.9935740256582,536.2098610245356,False,False,0,False,True,1.0,0.0,-0.0012103017478460876,-0.0012103017478460876,0.641208121296328,2.9241220446925813
